Surname;GivenName;Department;State;Description;Address;OfficePhone;EmailAddress;Name;SamAccountName
Akaka;Daniel K.;D;HI;Class I;141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6361;Web Form: akaka.senate.gov/email.cfm ;AAkaka;AAkaka
Alexander;Lamar;R;TN;Class II;455 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4944;Web Form: alexander.senate.gov/index.cfm?FuseAction=Contact.Home ;AAlexander;AAlexander
Allard;Wayne;R;CO;Class II;521 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5941;Web Form: allard.senate.gov/public/index.cfm?FuseAction=Contact.Home ;AAllard;AAllard
Baucus;Max;D;MT;Class II;511 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2651;Web Form: baucus.senate.gov/contact/emailForm.cfm?subj=issue ;ABaucus;ABaucus
Bayh;Evan;D;IN;Class III;131 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5623;Web Form: bayh.senate.gov/WebMail1.htm ;VBayh;VBayh
Bennett;Robert F.;R;UT;Class III;431 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5444;Web Form: bennett.senate.gov/contact/emailmain.html ;OBennett;OBennett
Biden;Joseph R.;Jr.;D;DE;Class II;201 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5042;OBiden;OBiden
Bingaman;Jeff;D;NM;Class I;703 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5521;E-mail: senator_bingaman@bingaman.senate.gov ;EBingaman;EBingaman
Bond;Christopher S.;R;MO;Class III;274 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-5721;Web Form: bond.senate.gov/contact/contactme.cfm ;HBond;HBond
Boxer;Barbara;D;CA;Class III;112 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3553;Web Form: boxer.senate.gov/contact ;ABoxer;ABoxer
Brown;Sherrod;D;OH;Class I;455 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-2315;Web Form: brown.senate.gov/contact.cfm ;HBrown;HBrown
Brownback;Sam;R;KS;Class III;303 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-6521;Web Form: brownback.senate.gov/CMEmailMe.cfm ;ABrownback;ABrownback
Bunning;Jim;R;KY;Class III;316 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-4343;Web Form: bunning.senate.gov/index.cfm?FuseAction=Contact.Email ;IBunning;IBunning
Burr;Richard;R;NC;Class III;217 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3154;Web Form: burr.senate.gov/index.cfm?FuseAction=Contact.Home ;IBurr;IBurr
Byrd;Robert C.;D;WV;Class I;311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510;(202) 224-3954;Web Form: byrd.senate.gov/byrd_email.html ;OByrd;OByrd
