1	No Discount	0	No Discount	No Discount	2011-05-01 00:00:00	2014-11-30 00:00:00	0		{0290C4F5-191F-4337-AB6B-0A2DDE03CBF9}	2011-04-01 00:00:00
2	Volume Discount 11 to 14	0.02	Volume Discount	Reseller	2011-05-31 00:00:00	2014-05-30 00:00:00	11	14	{D7542EE7-15DB-4541-985C-5CC27AEF26D6}	2011-05-01 00:00:00
3	Volume Discount 15 to 24	0.05	Volume Discount	Reseller	2011-05-31 00:00:00	2014-05-30 00:00:00	15	24	{4BDBCC01-8CF7-40A9-B643-40EC5B717491}	2011-05-01 00:00:00
4	Volume Discount 25 to 40	0.1	Volume Discount	Reseller	2011-05-31 00:00:00	2014-05-30 00:00:00	25	40	{504B5E85-8F3F-4EBC-9E1D-C1BC5DEA9AA8}	2011-05-01 00:00:00
5	Volume Discount 41 to 60	0.15	Volume Discount	Reseller	2011-05-31 00:00:00	2014-05-30 00:00:00	41	60	{677E1D9D-944F-4E81-90E8-47EB0A82D48C}	2011-05-01 00:00:00
6	Volume Discount over 60	0.2	Volume Discount	Reseller	2011-05-31 00:00:00	2014-05-30 00:00:00	61		{8157F569-4E8D-46B6-9347-5D0F726A9439}	2011-05-01 00:00:00
7	Mountain-100 Clearance Sale	0.35	Discontinued Product	Reseller	2012-04-13 00:00:00	2012-05-29 00:00:00	0		{7DF15BF5-6C05-47E7-80A4-22BD1CE59A72}	2012-03-14 00:00:00
8	Sport Helmet Discount-2002	0.1	Seasonal Discount	Reseller	2012-05-30 00:00:00	2012-06-29 00:00:00	0		{20C5D2CC-A38F-48F8-AC9A-8F15943E52AE}	2012-04-30 00:00:00
9	Road-650 Overstock	0.3	Excess Inventory	Reseller	2012-05-30 00:00:00	2012-07-30 00:00:00	0		{0CF8472B-F9E6-4945-9E09-549D7DDE2198}	2012-04-30 00:00:00
10	Mountain Tire Sale	0.5	Excess Inventory	Customer	2013-05-14 00:00:00	2013-07-29 00:00:00	0		{220444AD-2EF3-4E4C-87E9-3AA6EE39A877}	2013-04-14 00:00:00
11	Sport Helmet Discount-2003	0.15	Seasonal Discount	Reseller	2013-05-30 00:00:00	2013-06-29 00:00:00	0		{E72DAB1D-F44D-448B-9FE2-F259A2F0210D}	2013-04-30 00:00:00
12	LL Road Frame Sale	0.35	Excess Inventory	Reseller	2013-05-30 00:00:00	2013-07-14 00:00:00	0		{C0AF1C89-9722-4235-9248-3FBA4D9E5841}	2013-04-30 00:00:00
13	Touring-3000 Promotion	0.15	New Product	Reseller	2013-05-30 00:00:00	2013-08-29 00:00:00	0		{5061CCE4-E021-45A8-9A75-DFB36CBBCE85}	2013-04-30 00:00:00
14	Touring-1000 Promotion	0.2	New Product	Reseller	2013-05-30 00:00:00	2013-08-29 00:00:00	0		{1AF84A9E-A98C-4BD9-B48F-DC2B8B6B010B}	2013-04-30 00:00:00
15	Half-Price Pedal Sale	0.5	Seasonal Discount	Customer	2013-07-14 00:00:00	2013-08-14 00:00:00	0		{03E3594D-6EBB-46A6-B8EE-A9289C0C2E47}	2013-06-14 00:00:00
16	Mountain-500 Silver Clearance Sale	0.4	Discontinued Product	Reseller	2014-03-31 00:00:00	2014-05-30 00:00:00	0		{EB7CB484-BCCF-4D2D-BF73-521B20014174}	2014-03-01 00:00:00
